Squadra,Nome,Squadra_Appartenenza,Ruolo,Ruoli_Mantra,Prezzo,Quotazione,Quotazione_Mantra,Fantacalcio_Id
"Marco","MERET","NAP","P","Por",44,15,15,572
"Marco","SCUFFET","CAG","P","Por",2,8,8,574
"Marco","CAPRILE","NAP","P","Por",1,1,1,4360
"Marco","MIRANDA J.","BOL","D","Ds,E",13,8,8,4734
"Marco","BASTONI","INT","D","Dc",33,16,16,2120
"Marco","LUPERTO","CAG","D","Dc",9,9,9,393
"Marco","DUMFRIES","INT","D","E",10,16,15,5513
"Marco","MANCINI","ROM","D","Dc",12,11,11,2296
"Marco","MARTIN","GEN","D","Ds,E",2,5,5,2593
"Marco","POSCH","BOL","D","Dc,Dd",2,7,8,6066
"Marco","HOLM","BOL","D","Dd,E",1,8,8,5678
"Marco","MARIN","CAG","C","M,C",5,6,6,4965
"Marco","ILIC","TOR","C","C",15,9,9,5007
"Marco","ORSOLINI","BOL","C","W",50,21,21,2167
"Marco","MALINOVSKYI","GEN","C","C,T",11,11,11,4427
"Marco","PASALIC","ATA","C","C,T",9,14,14,2077
"Marco","ZIELINSKI","INT","C","C,T",7,10,10,152
"Marco","HERNANI","PAR","C","C",1,5,4,4423
"Marco","MIRETTI","GEN","C","C,T",1,3,3,5813
"Marco","MARTINEZ L.","INT","A","Pc",178,38,39,2764
"Marco","KEAN","FIO","A","Pc",65,21,21,2097
"Marco","BELOTTI","COM","A","Pc",18,16,15,441
"Marco","MOSQUERA","VER","A","Pc",3,10,9,6630
"Marco","CANCELLIERI","PAR","A","W,A",1,6,6,5500
"Marco","BENEDYCZAK","PAR","A","A",1,9,9,6667
"Andrea e Furlan","DI GREGORIO","JUV","P","Por",52,18,18,5876
"Andrea e Furlan","PERIN","JUV","P","Por",1,1,1,218
"Andrea e Furlan","PINSOGLIO","JUV","P","Por",1,1,1,1930
"Andrea e Furlan","BUONGIORNO","NAP","D","Dc",31,16,16,2724
"Andrea e Furlan","EMERSON ROYAL","MIL","D","B,Ds,Dd",11,11,11,4816
"Andrea e Furlan","CALABRIA","MIL","D","Dd,E",6,6,6,357
"Andrea e Furlan","KOSSOUNOU","ATA","D","Dc,Dd",9,10,10,5578
"Andrea e Furlan","HERMOSO","ROM","D","Dc",9,10,10,4807
"Andrea e Furlan","PONGRACIC","FIO","D","Dc",2,8,8,5603
"Andrea e Furlan","MINA","CAG","D","Dc",2,8,8,4210
"Andrea e Furlan","N'DICKA","ROM","D","Dc",1,9,9,4317
"Andrea e Furlan","PULISIC","MIL","C","T,A",75,30,29,2423
"Andrea e Furlan","ZANIOLO","ATA","C","T,A",13,12,11,2766
"Andrea e Furlan","KONE' M.","ROM","C","M,C",6,8,9,5589
"Andrea e Furlan","DA CUNHA","COM","C","W,T",1,12,12,5559
"Andrea e Furlan","LE FEE","ROM","C","C,T",3,10,10,6299
"Andrea e Furlan","LOVRIC","UDI","C","C",1,10,10,5850
"Andrea e Furlan","BALDANZI","ROM","C","T,A",1,9,9,5823
"Andrea e Furlan","TETE MORENTE","LEC","C","W",1,9,8,6634
"Andrea e Furlan","MORATA","MIL","A","Pc",103,25,25,313
"Andrea e Furlan","RETEGUI","ATA","A","Pc",114,22,21,6228
"Andrea e Furlan","SOULE'","ROM","A","W,A",40,19,21,5734
"Andrea e Furlan","OKAFOR","MIL","A","A",13,12,12,6227
"Andrea e Furlan","SIMEONE","NAP","A","Pc",2,11,10,2061
